연번,자치구명,도로명주소,지번주소,설치위치,설치지점,수거쓰레기종류,가로쓰레기통형태,관리기관연락처
12,서울특별시 중랑구,서울특별시 중랑구 동일로 859,,한국전력동부지사(07-105),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
13,서울특별시 중랑구,서울특별시 중랑구 동일로 884,,먹골역(07-426),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
14,서울특별시 중랑구,서울특별시 중랑구 동일로 919,,"묵동삼거리,먹골역(07-103)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
15,서울특별시 중랑구,,서울특별시 중랑구 망우동 534-1(망우로),"동부제일병원, 망우리공원 (07-013)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
16,서울특별시 중랑구,서울특별시 중랑구 망우로 503-91,,"동부제일병원, 망우리공원 (07-014)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
17,서울특별시 중랑구,서울특별시 중랑구 망우로 460-91,,금란교회 (07-011),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,02-2094-1958
18,서울특별시 중랑구,서울특별시 중랑구 망우로 460-91,,금란교회 (07-011),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,02-2094-1958
19,서울특별시 중랑구,서울특별시 중랑구 망우로 410-91,,"우림시장, 망우사거리(07-009)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
20,서울특별시 중랑구,서울특별시 중랑구 망우로 460-91,,금란교회 (07-011),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
21,서울특별시 중랑구,,서울특별시 중랑구 망우동 534-8(망우로),"망우역, 망우지구대 (07-007)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
22,서울특별시 중랑구,서울특별시 중랑구 망우로 207-91,,"중랑역, 동부시장 (07-005)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
23,서울특별시 중랑구,,서울특별시 중랑구 상봉동 160-3(망우로),"망우역, 상봉터미널 (07-002)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
24,서울특별시 중랑구,,서울특별시 중랑구 망우동 534-8(망우로),"망우역, 망우지구대 (07-007)","정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,02-2094-1958
25,서울특별시 중랑구,,서울특별시 중랑구 망우동 534-8(망우로),"망우역, 망우지구대 (07-007)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
26,서울특별시 중랑구,서울특별시 중랑구 망우로 410-91,,"우림시장, 망우사거리(07-009)","정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,02-2094-1958
27,서울특별시 중랑구,서울특별시 중랑구 망우로 410-91,,"우림시장, 망우사거리(07-009)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
28,서울특별시 중랑구,서울특별시 중랑구 망우로 290-91,,"상봉역, 중랑우체국 (07-003)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
29,서울특별시 중랑구,,서울특별시 중랑구 상봉동 160-3(망우로),"망우역, 상봉터미널 (07-002)","정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,02-2094-1958
30,서울특별시 중랑구,,서울특별시 중랑구 상봉동 160-3(망우로),"망우역, 상봉터미널 (07-002)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
31,서울특별시 중랑구,서울특별시 중랑구 망우로 207-91,,"중랑역, 동부시장 (07-005)","정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,02-2094-1958
32,서울특별시 중랑구,서울특별시 중랑구 망우로 207-91,,"중랑역, 동부시장 (07-005)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
33,서울특별시 중랑구,,서울특별시 중랑구 상봉동 160-3(망우로),"망우역, 상봉터미널 (07-002)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
34,서울특별시 중랑구,서울특별시 중랑구 망우로 196,,스타벅스 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,02-2094-1958
35,서울특별시 중랑구,서울특별시 중랑구 망우로 203,,중랑역동부시장1(07-124),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
36,서울특별시 중랑구,서울특별시 중랑구 망우로 269,,한샘교회(07-128),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
37,서울특별시 중랑구,서울특별시 중랑구 망우로 271,,서울중랑우체국 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각 쓰레기통,02-2094-1958
38,서울특별시 중랑구,서울특별시 중랑구 망우로 353 ,,"상봉역, 중랑우체국 (07-003)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
39,서울특별시 중랑구,서울특별시 중랑구 망우로 353 ,,"상봉역, 중랑우체국 (07-003)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
40,서울특별시 중랑구,서울특별시 중랑구 망우로 353 ,,"망우역, 상봉터미널 (07-002)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
41,서울특별시 중랑구,서울특별시 중랑구 망우로 353 ,,"망우역, 상봉터미널 (07-002)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
42,서울특별시 중랑구,서울특별시 중랑구 면목로 418,,면목역1번출구(07-171),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
43,서울특별시 중랑구,서울특별시 중랑구 면목로 477,,상봉역3번출구(07-166),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
44,서울특별시 중랑구,서울특별시 중랑구 봉우재로 129,,면목6거리(07-155),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
45,서울특별시 중랑구,서울특별시 중랑구 봉화산로 123,,쌍용아파트신내테크노타운앞(07-261),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
46,서울특별시 중랑구,서울특별시 중랑구 봉화산로 174,,신현중학교(07266),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
47,서울특별시 중랑구,서울특별시 중랑구 봉화산로 42,,중화역3번출구(07-254),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
48,서울특별시 중랑구,서울특별시 중랑구 봉화산로130,,엘지아파트앞(07-263),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
49,서울특별시 중랑구,서울특별시 중랑구 사가정로 387,,사가정역(면목두산아파트2차방면(07-246),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
50,서울특별시 중랑구,서울특별시 중랑구 상봉로 117,,상봉터미널(07-309),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
51,서울특별시 중랑구,서울특별시 중랑구 상봉로 51,,동원시장(07-313),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
52,서울특별시 중랑구,서울특별시 중랑구 신내로 지하 232,,봉화산역2번출구(07-296),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
53,서울특별시 중랑구,,서울특별시 중랑구 묵동 29(신내로),지하철6호선화랑대역5번출구(07-295),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
54,서울특별시 중랑구,서울특별시 중랑구 신내로 110,,신내동성3차아파트(07-275),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
55,서울특별시 중랑구,서울특별시 중랑구 신내로 155,,"신내8단지,서울의료원(07-279)","정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
56,서울특별시 중랑구,서울특별시 중랑구 신내로 277,,화랑대역6번출구(07-294),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
57,서울특별시 중랑구,서울특별시 중랑구 신내로 50,,성원아파트(07-272),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
58,서울특별시 중랑구,서울특별시 중랑구 신내로 71,,중랑구청사거리(07-273),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
59,서울특별시 중랑구,서울특별시 중랑구 양원역로 37,,경남아파트(07-329),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
60,서울특별시 중랑구,서울특별시 중랑구 용마산로 227,,용마산역3번출구(07-209),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
61,서울특별시 중랑구,서울특별시 중랑구 용마산로 259,,용마폭포공원(07-207),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
62,서울특별시 중랑구,서울특별시 중랑구 용마산로 616,,신내새한아파트앞(07-305),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
63,서울특별시 중랑구,서울특별시 중랑구 중랑역로 188,,묵2동주민센터(07-386),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
64,서울특별시 중랑구,서울특별시 중랑구 중랑역로 69,,태릉시장입구(07-397),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
65,서울특별시 중랑구,,서울특별시 중랑구 상봉동 160-3(망우로),망우역.상봉터미널(중)(07-001),"정류소(버스,택시 등)",일반쓰레기,기타(텀블러형 등),02-2094-1958
66,서울특별시 중랑구,,서울특별시 중랑구 상봉동 160-3(망우로),망우역.상봉터미널(중)(07-001),"정류소(버스,택시 등)",일반쓰레기,기타(텀블러형 등),02-2094-1958
67,서울특별시 중랑구,,서울특별시 중랑구 상봉동 160-3(망우로),망우역.상봉터미널(중)(07-002),"정류소(버스,택시 등)",일반쓰레기,기타(텀블러형 등),02-2094-1958
68,서울특별시 중랑구,,서울특별시 중랑구 상봉동 160-3(망우로),망우역.상봉터미널(중)(07-002),"정류소(버스,택시 등)",일반쓰레기,기타(텀블러형 등),02-2094-1958
69,서울특별시 중랑구,서울특별시 중랑구 망우로 290-91,,상봉역.중랑우체국(중)(07-003),"정류소(버스,택시 등)",일반쓰레기,기타(텀블러형 등),02-2094-1958
70,서울특별시 중랑구,서울특별시 중랑구 망우로 290-91,,상봉역.중랑우체국(중)(07-004),"정류소(버스,택시 등)",일반쓰레기,기타(텀블러형 등),02-2094-1958
71,서울특별시 중랑구,서울특별시 중랑구 망우로 207-91,,중랑역.동부시장(중)(07-005),"정류소(버스,택시 등)",일반쓰레기,기타(텀블러형 등),02-2094-1958
72,서울특별시 중랑구,서울특별시 중랑구 망우로 198-91,,중랑역.동부시장(중)(07-006),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
73,서울특별시 중랑구,서울특별시 중랑구 망우로 198-91,,중랑역.동부시장(중)(07-006),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,02-2094-1958
74,서울특별시 중랑구,서울특별시 중랑구 망우로 290-91,,상봉역.중랑우체국(중)(07-004),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
75,서울특별시 중랑구,서울특별시 중랑구 망우로 290-91,,상봉역.중랑우체국(중)(07-004),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,02-2094-1958
76,서울특별시 중랑구,서울특별시 중랑구 망우로 290-91,,상봉역.중랑우체국(중)(07-003),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,02-2094-1958
77,서울특별시 중랑구,,서울특별시 중랑구 망우동 534-64(망우로),망우역.망우지구대(중)(07-008),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
78,서울특별시 중랑구,,서울특별시 중랑구 망우동 534-64(망우로),망우역.망우지구대(중)(07-008),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,02-2094-1958
79,서울특별시 중랑구,서울특별시 중랑구 망우로 410-91,,우림시장.망우사거리(중)(07-010),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
80,서울특별시 중랑구,서울특별시 중랑구 망우로 410-91,,우림시장.망우사거리(중)(07-010),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,02-2094-1958
81,서울특별시 중랑구,서울특별시 중랑구 망우로 460-91,,금란교회(중)(07-012),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
82,서울특별시 중랑구,서울특별시 중랑구 망우로 460-91,,금란교회(중)(07-012),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,02-2094-1958
83,서울특별시 중랑구,서울특별시 중랑구 망우로 503-91,,동부재일병원.망우리공원(중)(07-014),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,02-2094-1958
84,서울특별시 중랑구,,서울특별시 중랑구 망우동 534-1(망우로),동부재일병원.망우리공원(중)(07-013),"정류소(버스,택시 등)",재활용쓰레기,일반 사각 쓰레기통,02-2094-1958
85,서울특별시 중랑구,,서울특별시 중랑구 상봉동 160-22(면목로),지하철7호선상봉역(07-167),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
86,서울특별시 중랑구,서울특별시 중랑구 신내로 211,,봉화산역3번출구(07-297),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
87,서울특별시 중랑구,,서울특별시 중랑구 신내동 561(신내로),중랑구청사거리(07-273),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
88,서울특별시 중랑구,,서울특별시 중랑구 신내동 664(봉화산로),중랑구청(07-267),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
89,서울특별시 중랑구,,서울특별시 중랑구 신내동 664(봉화산로),중랑구청(07-268),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
90,서울특별시 중랑구,서울특별시 중랑구 동일로 지하 797,,지하철7호선중화역3번출구(07-253),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
91,서울특별시 중랑구,서울특별시 중랑구 동일로 지하 797,,지하철7호선중화역(07-107),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
92,서울특별시 중랑구,서울특별시 중랑구 동일로 768,,중화동한신아파트(07-110),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
93,서울특별시 중랑구,,서울특별시 중랑구 중화동 286-48(봉화산로),지하철7호선중화역2번출구(07-255),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
94,서울특별시 중랑구,,서울특별시 중랑구 중화동 50-8(동일로),국민은행중화동지점(07-109),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
95,서울특별시 중랑구,서울특별시 중랑구 신내로 4,,국민은행망우동지점 (07-131),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
96,서울특별시 중랑구,,서울특별시 중랑구 면목동 49-32(겸재로),지하철7호선면목역(07-229),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
97,서울특별시 중랑구,서울특별시 중랑구 동일로 916-91,,묵1동주민센터입구.먹골역(07-214),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
98,서울특별시 중랑구,,서울특별시 중랑구 상봉동 493(봉화산로),신현중학교(07-265),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
99,서울특별시 중랑구,서울특별시 중랑구 망우로 403,,국민은행망우동지점(07-129),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
100,서울특별시 중랑구,,서울특별시 중랑구 묵동 189-6(동일로),먹골역(07-425),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
101,서울특별시 중랑구,서울특별시 중랑구 신내로 92-91,,신내동성1.2차아파트(07-276),"정류소(버스,택시 등)",일반쓰레기,일반 사각 쓰레기통,02-2094-1958
