시군구명,도로(가로)명,설치 위치,쓰레기통 종류,형태,수거 담당자,관리기관명,관리기관 전화번호,데이터기준일자
동대문구,외대역동로 14,버스정류소 06-256,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로53길 6,버스정류소 06-136,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 300,버스정류소 06-417,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,장안벚꽃로 323,버스정류소 06-419,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,장안벚꽃로 279,버스정류소 06-308,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,망우로 29,버스정류소 06-013,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,망우로 78-1,버스정류소 06-012,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,망우로 67,버스정류소 06-011,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,고미술로 21,고미술상가2동 주차장 초입,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,전농로 39,버스정류소 06-199,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,전농로 61,버스정류소 06-197,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 4,버스정류소 06-154,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 45,버스정류소 06-153,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 42,버스정류소 06-152,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 263,버스정류소 06-503,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 281,동부시장 빌딩 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 289,버스정류소 06-500,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,고미술로 81,투썸플레이스 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 312-1,버스정류소 06-001(휴지통 2개),일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,고미술로 100,버스정류소 06-157,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,서울시립대로 14,버스정류소 06-511,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,답십리로 7-1,공릉동 멸치국수집 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,왕산로 178,청량리역 6번출구 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,서울시립대로 14,버스정류소 06-005,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,서울시립대로 14,버스정류소 06-507,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로65길 17,버스정류소 06-583,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 231,강릉항 앞 ,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 221,버스정류소 06-159,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,답십리로 56,전농1동 교차로 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,서울시립대로 31,103동 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,사가정로 31-1,버스정류소 06-202,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,답십리로 94,버스정류소 06-221,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,사가정로 65,버스정류소 06-220,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 114,버스정류소 06-149,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 111,버스정류소 06-779,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,답십리로 223,버스정류소 06-231,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,장한로 119,버스정류소 06-244,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,답십리로 268,버스정류소 06-356,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,답십리로66길 3,버스정류소 06-232,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 84-1,버스정류소 06-151,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 89,버스정류소 06-150,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 14길 87,우리은행 자동화점 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로97길 74,버스정류소 06-263,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,장한로 106,장안동 상가,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로14길 87,버스정류소 06-248,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,장한로 6,농협은행 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 381,버스정류소 06-002,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,장한로 9,버스정류소 06-251,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 367,한국고분자시험연구소 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,장한로12길 48,버스정류소 06-314,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,장한로 52,순대실록 장한평역점 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,장한로 12,조령약국 앞 ,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 433,버스정류소 06-003,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,장안벚꽃로 67,버스정류소 06-262,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 147,버스정류소 06-147,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 212,버스정류소 06-144,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 242,버스정류소 06-524,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 224,버스정류소 06-143,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,장한로 191,버스정류소 06-237,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,장한로 200,버스정류소 06-238,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,사가정로 272,버스정류소 06-215,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,사가정로 230,버스정류소 06-213,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,사가정로 229,버스정류소 06-212,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,장안벚꽃로 167,버스정류소 06-259,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,버스정류소 06-210,버스정류소 06-210,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,사가정로 203,버스정류소 06-304,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 183,버스정류소 06-145,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,장한로 124,버스정류소 06-243,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,답십리로 297,버스정류소 06-235,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,장한로 165,버스정류소 06-239,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 184,버스정류소 06-146,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,장한로14길 81,장안삼성래미안아파트 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,사가정로 148,버스정류소 06-298,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,전농로 164,버스정류소 06-190,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,사가정로 66,버스정류소 06-205,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,전농로 127-1,버스정류소 06-192,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,사가정로 30,버스정류소 06-203,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,답십리로45길 4,버스정류소 06-223,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,전농로 99,버스정류소 06-195,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,답십리로 187,버스정류소 06-228,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,전농동 691-3,버스정류소 06-204,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,사가정로 91,버스정류소 06-206,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,전농로 231,버스정류소 06-187,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,전농로 210-1,버스정류소 06-188,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,전농로 222,버스정류소 06-537,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,답십리로23길 30,버스정류소 06-218,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,전농동 675,버스정류소 06-578,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,서울시립대로 145,간데메소주집 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,서울시립대로 114,버스정류소 06-530,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,이문로 154,버스정류소 06-129(휴지통 2개),일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 424,버스정류소 06-133,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 55길 9,이문동삼익아파트 앞(휴지통 2개),일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,휘경로 53,정 할인마트 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로58길 107,버스정류소 06-254,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로58길 47 건너편 버스정류장,버스정류소 06-302,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,이문로 186,혜중약국 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,이문동 삼거리,소공원 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,이문로 206,뚜레쥬르 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 479,맞은편,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 504,건재상 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한천로 503,삼원택시 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,왕산로32길 7,버스정류소 06-426,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,왕산로 155-1,버스정류소 06-022,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,약령시로 159,세무서길 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,왕산로 239,청량리 주민센터 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,왕산로 312,본부교회 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,왕산로 289,버스정류소 06-014,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,왕산로 270,버스정류소 06-114,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,제기로 130,버스정류소 06-349,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,제기로 131,한신그린상가 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,청량리동 199-7,롯데캐슬하이루체입구 오른쪽,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,홍릉로 29,세븐일레븐 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,한빛로 40,다리입구,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,무학로 33길 4,우쭈쭈 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,무학로 111,GS25 용두동아점 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,무학로 124,동부시립병원 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,무학로35길,여름약국 코너,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,왕산로 61,마루샤브 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,왕산로 53,준모터스 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,보문로 16,동대문게스트하우스 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 35,재능교육 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,왕산로 4,기아자동차 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,신설동역,4번출구,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 64,동아제약 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로14길 2,동원교회 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 19,버스정류소 06-008,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,제기동역,6번출구(휴지통 2개),일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,제기동 1132,버스정류소 06-023,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,경희대로 17,크로네 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,이문로 26,회기역앞 사거리,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,이문로 40,버스정류소 06-123,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,이문로 43,버스정류소 06-122,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,이문로 23-1,회기사거리,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,회기로 90,홍릉초등학교 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,회기로 18길 2,회기파출소 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,이문로 66,상가부동산중개 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,이문로 75,남원추어탕 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 124,버스정류소 06-161,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,용두역,5번출구 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,청계천로 549,용신지구대 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 127-1,용두역 1번출구 앞,일반쓰레기,서울형 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 127-1,용두역 1번출구 앞,재활용,서울형 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,고산자로 399,버스정류소 06-166,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,고산자로 402,버스정류소 06-164,일반쓰레기,서울형 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,고산자로 402,버스정류소 06-164,재활용,서울형 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,무학로 89,1층 용두어울림작은도서관 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 68,버스정류소 06-007,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,청계천로 505,삼성소방건설 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구, 천호대로 133,버스정류소 06-006,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 151,버스정류소 06-017,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,천호대로 151,세븐일레븐 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,청계천로 563,용두공원 지하 차량통로 출구 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,제기로 73,CU 홍릉점 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,고산자로 550,차박사 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,회기로 14,CU 고대어진재점,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,회기로 40,경희서아당한약국 앞,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
동대문구,회기로 44,맞은편,일반쓰레기,일반 사각 쓰레기통,가로 환경공무관,서울특별시 동대문구청,02-2127-4727,2025-07-01
