연번,도시군,읍면명,설치장소,쓰레기통 종류,관리기관명,관리기관전화번호,데이터기준일자
66,충청남도 홍성군,결성면,교항리 339-7,분리수거함,환경과,041-630-1350,2025-04-14
67,충청남도 홍성군,결성면,금곡리 840,분리수거함,환경과,041-630-1350,2025-04-14
68,충청남도 홍성군,결성면,교항리 1009,분리수거함,환경과,041-630-1350,2025-04-14
69,충청남도 홍성군,결성면,교향리 125-2,분리수거함,환경과,041-630-1350,2025-04-14
70,충청남도 홍성군,결성면,형산리 36-6,분리수거함,환경과,041-630-1350,2025-04-14
71,충청남도 홍성군,갈산면, 백야로246번길 65,분리수거함,환경과,041-630-1350,2025-04-14
72,충청남도 홍성군,갈산면, 오두리182-3,분리수거함,환경과,041-630-1350,2025-04-14
73,충청남도 홍성군,갈산면,백야로 390,분리수거함,환경과,041-630-1350,2025-04-14
74,충청남도 홍성군,갈산면,백야로 314번길 57,분리수거함,환경과,041-630-1350,2025-04-14
75,충청남도 홍성군,갈산면,수덕사로324번길 64,분리수거함,환경과,041-630-1350,2025-04-14
76,충청남도 홍성군,구항면, 장양리 663-3,분리수거함,환경과,041-630-1350,2025-04-14
77,충청남도 홍성군,구항면, 충서로726번길 142,분리수거함,환경과,041-630-1350,2025-04-14
78,충청남도 홍성군,구항면, 구항남길 544,분리수거함,환경과,041-630-1350,2025-04-14
79,충청남도 홍성군,구항면,충서로 999번길101-6,분리수거함,환경과,041-630-1350,2025-04-14
80,충청남도 홍성군,구항면, 충서로999번길 101-65,분리수거함,환경과,041-630-1350,2025-04-14
81,충청남도 홍성군,구항면,거북로 440,분리수거함,환경과,041-630-1350,2025-04-14
82,충청남도 홍성군,구항면,구항길240번길 21,분리수거함,환경과,041-630-1350,2025-04-14
83,충청남도 홍성군,홍동면,광금남로 787-13,분리수거함,환경과,041-630-1351,2025-04-14
84,충청남도 홍성군,홍동면,초롱산길 113,분리수거함,환경과,041-630-1352,2025-04-14
85,충청남도 홍성군,홍동면,금당리 979,분리수거함,환경과,041-630-1353,2025-04-14
86,충청남도 홍성군,홍동면,홍동길 197,분리수거함,환경과,041-630-1354,2025-04-14
87,충청남도 홍성군,갈산면,오두1길 9,분리수거함,환경과,041-630-1355,2025-04-14
88,충청남도 홍성군,갈산면,갈산서길 475번길 245,분리수거함,환경과,041-630-1356,2025-04-14
89,충청남도 홍성군,구항면,구항서길 100번길 2-3,분리수거함,환경과,041-630-1357,2025-04-14
90,충청남도 홍성군,구항면,구항길 193번길 76,분리수거함,환경과,041-630-1358,2025-04-14
91,충청남도 홍성군,금마면,금북로 165번길 28,분리수거함,환경과,041-630-1359,2025-04-14
92,충청남도 홍성군,금마면,장성리 226-7,분리수거함,환경과,041-630-1360,2025-04-14
93,충청남도 홍성군,장곡면,장곡길 520-4,분리수거함,환경과,041-630-1361,2025-04-14
94,충청남도 홍성군,장곡면,홍장남로 144번길 144,분리수거함,환경과,041-630-1362,2025-04-14
95,충청남도 홍성군,홍북읍,봉신리 57-15,분리수거함,환경과,041-630-1363,2025-04-14
