순번,시도명,시군구명,설치위치,설치지점,쓰레기통종류,도로명주소,지번주소,위도,경도,관리기관,전화번호,데이터기준일자
11,경기도,고양시 덕양구,근린공원 버스정류장,"정류장(버스,택시 등)",일반쓰레기수거용,경기도 고양시 덕양구 화신로 266-1,경기도 고양시 덕양구 화정동 986,37.6317378,126.8329976,덕양구청 청소농정과,031-8075-5243,2025-02-24
12,경기도,고양시 덕양구,문정빌딩 앞,기타(보도),일반쓰레기수거용,경기도 고양시 덕양구 화신로 319,경기도 고양시 덕양구 화정동 946,37.63265511,126.8262914,덕양구청 청소농정과,031-8075-5243,2025-02-24
13,경기도,고양시 덕양구,별빛8단지 롯데마트 버스정류장-화정방향,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 1099,경기도 고양시 덕양구 화정동 1099,37.632927,126.8305556,덕양구청 청소농정과,031-8075-5243,2025-02-24
14,경기도,고양시 덕양구,화정역 롯데마트 버스정류장,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 1099,경기도 고양시 덕양구 화정동 1099,37.632927,126.8305556,덕양구청 청소농정과,031-8075-5243,2025-02-24
15,경기도,고양시 덕양구,"명지병원, 달빛마을3단지 버스정류장","정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 1045,경기도 고양시 덕양구 화정동 1045,37.64248182,126.8334892,덕양구청 청소농정과,031-8075-5243,2025-02-24
16,경기도,고양시 덕양구,"명지병원, 은빛마을5단지 버스정류장","정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 1045,경기도 고양시 덕양구 화정동 1045,37.64248182,126.8334892,덕양구청 청소농정과,031-8075-5243,2025-02-24
17,경기도,고양시 덕양구,화정1동행정복지센터 버스정류장-상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 1037,경기도 고양시 덕양구 화정동 1037,37.64629275,126.8343502,덕양구청 청소농정과,031-8075-5243,2025-02-24
18,경기도,고양시 덕양구,화정1동행정복지센터 버스정류장-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 1037,경기도 고양시 덕양구 화정동 1037,37.64629275,126.8343502,덕양구청 청소농정과,031-8075-5243,2025-02-24
19,경기도,고양시 덕양구,"고양어울림누리, 달빛마을1단지-상행","정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 1036,경기도 고양시 덕양구 화정동 1036,37.64821483,126.8346893,덕양구청 청소농정과,031-8075-5243,2025-02-24
20,경기도,고양시 덕양구,"고양어울림누리, 달빛마을1단지-하행","정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 1036,경기도 고양시 덕양구 화정동 1036,37.64821483,126.8346893,덕양구청 청소농정과,031-8075-5243,2025-02-24
21,경기도,고양시 덕양구,화정역 2번출구,역앞,"일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 971,경기도 고양시 덕양구 화정동 971,37.63394602,126.8329892,덕양구청 청소농정과,031-8075-5243,2025-02-24
22,경기도,고양시 덕양구,화정역 3번출구,역앞,"일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 963,경기도 고양시 덕양구 화정동 963,37.6349509,126.8321756,덕양구청 청소농정과,031-8075-5243,2025-02-24
23,경기도,고양시 덕양구,화정역 광장 횡단보도-북쪽,기타(보도),"일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 963,경기도 고양시 덕양구 화정동 963,37.6349509,126.8321756,덕양구청 청소농정과,031-8075-5243,2025-02-24
24,경기도,고양시 덕양구,화정역 광장 횡단보도-남쪽,기타(보도),"일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 971,경기도 고양시 덕양구 화정동 971,37.63394602,126.8329892,덕양구청 청소농정과,031-8075-5243,2025-02-24
25,경기도,고양시 덕양구,화정역 3호선 버스정류장,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 1092,경기도 고양시 덕양구 화정동 1092,37.63523982,126.8333718,덕양구청 청소농정과,031-8075-5243,2025-02-24
26,경기도,고양시 덕양구,화정역 3호선 버스정류장 반대편,기타(보도),"일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 963,경기도 고양시 덕양구 화정동 963,37.6349509,126.8321756,덕양구청 청소농정과,031-8075-5243,2025-02-24
27,경기도,고양시 덕양구,화정단독주택단지 버스정류장,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 1058,경기도 고양시 덕양구 화정동 1058,37.63914905,126.8321039,덕양구청 청소농정과,031-8075-5243,2025-02-24
28,경기도,고양시 덕양구,대곡역-버스정류장-고양경찰서방향,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 대장동 436-1,경기도 고양시 덕양구 대장동 436-1,37.63140917,126.8094977,덕양구청 청소농정과,031-8075-5243,2025-02-24
29,경기도,고양시 덕양구,소만마을-버스정류장-상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 행신동 1121,경기도 고양시 덕양구 행신동 1121,37.61788513,126.8462181,덕양구청 청소농정과,031-8075-5243,2025-02-24
30,경기도,고양시 덕양구,소만마을-버스정류장-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 행신동 1121,경기도 고양시 덕양구 행신동 1121,37.61788513,126.8462181,덕양구청 청소농정과,031-8075-5243,2025-02-24
31,경기도,고양시 덕양구,서정마을-버스정류장-상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 행신동 1127,경기도 고양시 덕양구 행신동 1127,37.61559658,126.8515552,덕양구청 청소농정과,031-8075-5243,2025-02-24
32,경기도,고양시 덕양구,서정마을-버스정류장-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 행신동 1127,경기도 고양시 덕양구 행신동 1127,37.61559658,126.8515552,덕양구청 청소농정과,031-8075-5243,2025-02-24
33,경기도,고양시 덕양구,화도교-버스정류장-서정마을방향,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화전동 768-30,경기도 고양시 덕양구 화전동 768-30,37.60946152,126.8613264,덕양구청 청소농정과,031-8075-5243,2025-02-24
34,경기도,고양시 덕양구,화도교-버스정류장-화전역방향,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화전동 758-3,경기도 고양시 덕양구 화전동 758-3,37.6089209,126.8620073,덕양구청 청소농정과,031-8075-5243,2025-02-24
35,경기도,고양시 덕양구,화전역앞-버스정류장-상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화전동 545-2,경기도 고양시 덕양구 화전동 545-2,37.605859,126.86743,덕양구청 청소농정과,031-8075-5243,2025-02-24
36,경기도,고양시 덕양구,화전역앞-버스정류장-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화전동 545-2,경기도 고양시 덕양구 화전동 545-2,,,덕양구청 청소농정과,031-8075-5243,2025-02-24
37,경기도,고양시 덕양구,항공대입구-버스정류장-상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화전동 203-51,경기도 고양시 덕양구 화전동 203-51,37.60144286,126.8718346,덕양구청 청소농정과,031-8075-5243,2025-02-24
38,경기도,고양시 덕양구,항공대입구-버스정류장-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화전동 203-51,경기도 고양시 덕양구 화전동 203-51,37.60144286,126.8718346,덕양구청 청소농정과,031-8075-5243,2025-02-24
39,경기도,고양시 덕양구,덕은동-버스정류장-상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 덕은동 47-5,경기도 고양시 덕양구 덕은동 47-5,37.59510053,126.878059,덕양구청 청소농정과,031-8075-5243,2025-02-24
40,경기도,고양시 덕양구,덕은동-버스정류장-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 덕은동 47-5,경기도 고양시 덕양구 덕은동 47-5,37.59510053,126.878059,덕양구청 청소농정과,031-8075-5243,2025-02-24
41,경기도,고양시 덕양구,"고양경찰서,토당청소년수련관-버스정류장-상행","정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 1152,경기도 고양시 덕양구 화정동 1152,37.62600167,126.8313637,덕양구청 청소농정과,031-8075-5243,2025-02-24
42,경기도,고양시 덕양구,"고양경찰서,토당청소년수련관-버스정류장-하행","정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 화정동 1152,경기도 고양시 덕양구 화정동 1152,37.62600167,126.8313637,덕양구청 청소농정과,031-8075-5243,2025-02-24
43,경기도,고양시 덕양구,행신초등학교-버스정류장-상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 행신동 1019-1,경기도 고양시 덕양구 행신동 1019-1,37.62207919,126.8377751,덕양구청 청소농정과,031-8075-5243,2025-02-24
44,경기도,고양시 덕양구,행신초등학교-버스정류장-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 행신동 1019-1,경기도 고양시 덕양구 행신동 1019-1,37.62207919,126.8377751,덕양구청 청소농정과,031-8075-5243,2025-02-24
45,경기도,고양시 덕양구,행신동-버스정류장-상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 행신동 1019-6,경기도 고양시 덕양구 행신동 1019-6,37.61936879,126.8421468,덕양구청 청소농정과,031-8075-5243,2025-02-24
46,경기도,고양시 덕양구,행신동-버스정류장-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 행신동 1019-6,경기도 고양시 덕양구 행신동 1019-6,37.61936879,126.8421468,덕양구청 청소농정과,031-8075-5243,2025-02-24
47,경기도,고양시 덕양구,성사2동행정복지센터-신원당마을방향,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 성사동 737-9,경기도 고양시 덕양구 성사동 737-9,37.6515915,126.8323388,덕양구청 청소농정과,031-8075-5243,2025-02-24
48,경기도,고양시 덕양구,신원당마을입구 버스정류장,"정류장(버스,택시 등)",일반쓰레기수거용,경기도 고양시 덕양구 성사동 383,경기도 고양시 덕양구 성사동 383,37.6539945,126.8384507,덕양구청 청소농정과,031-8075-5243,2025-02-24
49,경기도,고양시 덕양구,원당역 1번출구 버스정류장,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 성사동 411-7,경기도 고양시 덕양구 성사동 411-7,37.65310322,126.8436688,덕양구청 청소농정과,031-8075-5243,2025-02-24
50,경기도,고양시 덕양구,"고양시청, 덕양구보건소치매안심센터--상행","정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 주교동 630,경기도 고양시 덕양구 주교동 630,37.66019827,126.8364736,덕양구청 청소농정과,031-8075-5243,2025-02-24
51,경기도,고양시 덕양구,"고양시청, 덕양구보건소치매안심센터--하행","정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 주교동 630,경기도 고양시 덕양구 주교동 630,37.66019827,126.8364736,덕양구청 청소농정과,031-8075-5243,2025-02-24
52,경기도,고양시 덕양구,농협하나로클럽(스타필드 후문방면) 버스정류장,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 동산동 399,경기도 고양시 덕양구 동산동 399,37.64884891,126.8976353,덕양구청 청소농정과,031-8075-5243,2025-02-24
53,경기도,고양시 덕양구,스타필드 후문 마을버스정류장,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 동산동 398,경기도 고양시 덕양구 동산동 398,37.64782589,126.8943674,덕양구청 청소농정과,031-8075-5243,2025-02-24
54,경기도,고양시 덕양구,"DMC리슈빌, DMC호반2,3단지-상행","정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 향동동 620,경기도 고양시 덕양구 향동동 620,37.59480174,126.8915124,덕양구청 청소농정과,031-8075-5243,2025-02-24
55,경기도,고양시 덕양구,"DMC리슈빌, DMC호반2,3단지-하행","정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 향동동 620,경기도 고양시 덕양구 향동동 620,37.59480174,126.8915124,덕양구청 청소농정과,031-8075-5243,2025-02-24
56,경기도,고양시 덕양구,DMC호반4단지_상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 향동동 620,경기도 고양시 덕양구 향동동 620,37.59480174,126.8915124,덕양구청 청소농정과,031-8075-5243,2025-02-24
57,경기도,고양시 덕양구,DMC호반4단지_하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 향동동 561,경기도 고양시 덕양구 향동동 561,37.59541061,126.8924528,덕양구청 청소농정과,031-8075-5243,2025-02-24
58,경기도,고양시 덕양구,"향동DMC중흥S클래스2단지, 하우스디_상행","정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 향동동 599,경기도 고양시 덕양구 향동동 599,37.60296003,126.8963218,덕양구청 청소농정과,031-8075-5243,2025-02-24
59,경기도,고양시 덕양구,DMC해링턴 플레이스_상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 향동동 599,경기도 고양시 덕양구 향동동 599,37.60296003,126.8963218,덕양구청 청소농정과,031-8075-5243,2025-02-24
60,경기도,고양시 덕양구,DMC해링턴 플레이스_하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 향동동 599,경기도 고양시 덕양구 향동동 599,37.60296003,126.8963218,덕양구청 청소농정과,031-8075-5243,2025-02-24
61,경기도,고양시 덕양구,"토당초등학교,우창프라자(무원마을10단지 방면)정류장","정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 덕양구 행신로 104,경기도 고양시 덕양구 토당동 407-6,37.61752693,126.8271985,덕양구청 청소농정과,031-8075-5243,2025-02-24
62,경기도,고양시 덕양구,지축역2번출구 앞,역앞,"일반,재활용쓰레기수거용",경기도 고양시 덕양구 지축동 695-28,경기도 고양시 덕양구 지축동 695-28,37.647868,126.915393,덕양구청 청소농정과,031-8075-5243,2025-02-24
63,경기도,고양시 일산동구,호수마을 20-493-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",고양시 일산동구 마두동 1120-9,고양시 일산동구 마두동 1120-9,37.6486847,126.78087,일산동구청 환경녹지과,031-8075-6243,2025-02-24
64,경기도,고양시 일산동구,호수마을 20-493-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",고양시 일산동구 마두동 1120-9,고양시 일산동구 마두동 1120-9,37.6486847,126.78087,일산동구청 환경녹지과,031-8075-6243,2025-02-24
65,경기도,고양시 일산동구,흰돌마을 20-491-상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",고양시 일산동구 마두동 1120-9,고양시 일산동구 마두동 1120-9,37.6486847,126.78087,일산동구청 환경녹지과,031-8075-6243,2025-02-24
66,경기도,고양시 일산동구,흰돌마을 20-491-상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",고양시 일산동구 마두동 1120-9,고양시 일산동구 마두동 1120-9,37.6486847,126.78087,일산동구청 환경녹지과,031-8075-6243,2025-02-24
67,경기도,고양시 일산동구,백석역 20-311-상행,"정류장(버스,택시 등)",일반쓰레기수거용,고양시 일산동구 백석동 1334-5,고양시 일산동구 백석동 1334-5,37.6444156,126.7858237,일산동구청 환경녹지과,031-8075-6243,2025-02-24
68,경기도,고양시 일산동구,백석역 20-311-상행,"정류장(버스,택시 등)",일반쓰레기수거용,고양시 일산동구 백석동 1334-5,고양시 일산동구 백석동 1334-5,37.6444156,126.7858237,일산동구청 환경녹지과,031-8075-6243,2025-02-24
69,경기도,고양시 일산동구,"백석역, 고양종합터미널 20-340","정류장(버스,택시 등)",일반쓰레기수거용,고양시 일산동구 백석동 1242-2,고양시 일산동구 백석동 1242-2,37.6438013,126.7892573,일산동구청 환경녹지과,031-8075-6243,2025-02-24
70,경기도,고양시 일산동구,안산공원 20-323-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",고양시 일산동구 백석동 1252-57,고양시 일산동구 백석동 1252-57,37.6477539,126.7878497,일산동구청 환경녹지과,031-8075-6243,2025-02-24
71,경기도,고양시 일산동구,안산공원 20-323-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",고양시 일산동구 백석동 1252-57,고양시 일산동구 백석동 1252-57,37.6477539,126.7878497,일산동구청 환경녹지과,031-8075-6243,2025-02-24
72,경기도,고양시 일산동구,안산공원 20-323-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",고양시 일산동구 중앙로 1080,고양시 일산동구 백석동 1288-2,37.645618,126.7852441,일산동구청 환경녹지과,031-8075-6243,2025-02-24
73,경기도,고양시 일산동구,안산공원 20-323-하행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",고양시 일산동구 중앙로 1080,고양시 일산동구 백석동 1288-2,37.645618,126.7852441,일산동구청 환경녹지과,031-8075-6243,2025-02-24
74,경기도,고양시 일산동구,"백석동, 요진와이시티 20-352-하행","정류장(버스,택시 등)",일반쓰레기수거용,고양시 일산동구 백석동 중앙로 1005,고양시 일산동구 백석동 1300,37.6405801,126.7906615,일산동구청 환경녹지과,031-8075-6243,2025-02-24
75,경기도,고양시 일산동구,"백석동, 요진와이시티 20-352-하행","정류장(버스,택시 등)",일반쓰레기수거용,고양시 일산동구 백석동 중앙로 1005,고양시 일산동구 백석동 1300,37.6405801,126.7906615,일산동구청 환경녹지과,031-8075-6243,2025-02-24
76,경기도,고양시 일산동구,알미공원 20-494-상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",고양시 일산동구 백석동 1538-2,고양시 일산동구 백석동 1538-2,37.6461919,126.7841388,일산동구청 환경녹지과,031-8075-6243,2025-02-24
77,경기도,고양시 일산동구,알미공원 20-494-상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",고양시 일산동구 백석동 1538-2,고양시 일산동구 백석동 1538-2,37.6461919,126.7841388,일산동구청 환경녹지과,031-8075-6243,2025-02-24
78,경기도,고양시 일산동구,"백석동, 요진와이시티 20-353-상행","정류장(버스,택시 등)",일반쓰레기수거용,고양시 일산동구 백석동 1538-9,고양시 일산동구 백석동 1538-9,37.6413547,126.7905544,일산동구청 환경녹지과,031-8075-6243,2025-02-24
79,경기도,고양시 일산동구,"백석동, 요진와이시티 20-353-상행","정류장(버스,택시 등)",일반쓰레기수거용,고양시 일산동구 백석동 1538-9,고양시 일산동구 백석동 1538-9,37.6413547,126.7905544,일산동구청 환경녹지과,031-8075-6243,2025-02-24
80,경기도,고양시 일산동구,일산호수공원관리사무소 20-655,"정류장(버스,택시 등)",일반쓰레기수거용,고양시 일산동구 장항동 1518,고양시 일산동구 장항동 1518,37.6582021,126.7671062,일산동구청 환경녹지과,031-8075-6243,2025-02-24
81,경기도,고양시 일산동구,일산호수공원관리사무소 20-655,"정류장(버스,택시 등)",일반쓰레기수거용,고양시 일산동구 장항동 1518,고양시 일산동구 장항동 1518,37.6582021,126.7671062,일산동구청 환경녹지과,031-8075-6243,2025-02-24
82,경기도,고양시 일산동구,마두역 20-247(3번출구방향),"정류장(버스,택시 등)","일반,재활용쓰레기수거용",고양시 일산동구 장항동 1360-2,고양시 일산동구 장항동 1360-2,37.6523354,126.7773217,일산동구청 환경녹지과,031-8075-6243,2025-02-24
83,경기도,고양시 일산동구,마두역 20-247(3번출구방향),"정류장(버스,택시 등)","일반,재활용쓰레기수거용",고양시 일산동구 장항동 1360-2,고양시 일산동구 장항동 1360-2,37.6523354,126.7773217,일산동구청 환경녹지과,031-8075-6243,2025-02-24
84,경기도,고양시 일산동구,마두역 20-249(7번출구방향),"정류장(버스,택시 등)","일반,재활용쓰레기수거용",고양시 일산동구 마두동 1120,고양시 일산동구 마두동 1120,37.651642,126.7782661,일산동구청 환경녹지과,031-8075-6243,2025-02-24
85,경기도,고양시 일산동구,마두역 20-249(7번출구방향),"정류장(버스,택시 등)","일반,재활용쓰레기수거용",고양시 일산동구 마두동 1120,고양시 일산동구 마두동 1120,37.651642,126.7782661,일산동구청 환경녹지과,031-8075-6243,2025-02-24
86,경기도,고양시 일산동구,일산경찰서 20-206-하행,"정류장(버스,택시 등)",일반쓰레기수거용,고양시 일산동구 중앙로 1333,고양시 일산동구 장항동 726,37.6642146,126.7686856,일산동구청 환경녹지과,031-8075-6243,2025-02-24
87,경기도,고양시 일산동구,일산경찰서 20-206-하행,"정류장(버스,택시 등)",일반쓰레기수거용,고양시 일산동구 중앙로 1333,고양시 일산동구 장항동 726,37.6642146,126.7686856,일산동구청 환경녹지과,031-8075-6243,2025-02-24
88,경기도,고양시 일산동구,일산경찰서 20-203-상행,"정류장(버스,택시 등)",일반쓰레기수거용,고양시 일산동구 중앙로 1322,고양시 일산동구 장항동 785,37.6639606,126.7704967,일산동구청 환경녹지과,031-8075-6243,2025-02-24
89,경기도,고양시 일산동구,일산경찰서 20-203-상행,"정류장(버스,택시 등)",일반쓰레기수거용,고양시 일산동구 중앙로 1322,고양시 일산동구 장항동 785,37.6639606,126.7704967,일산동구청 환경녹지과,031-8075-6243,2025-02-24
90,경기도,고양시 일산동구,일산동구청 20-224-상행,"정류장(버스,택시 등)",일반쓰레기수거용,고양시 일산동구 장항동 1487-5,고양시 일산동구 장항동 1487-5,37.6571723,126.7745082,일산동구청 환경녹지과,031-8075-6243,2025-02-24
91,경기도,고양시 일산동구,일산동구청 20-224-상행,"정류장(버스,택시 등)",일반쓰레기수거용,고양시 일산동구 장항동 1487-5,고양시 일산동구 장항동 1487-5,37.6571723,126.7745082,일산동구청 환경녹지과,031-8075-6243,2025-02-24
92,경기도,고양시 일산동구,일산동구청 20-227-하행,"정류장(버스,택시 등)",일반쓰레기수거용,고양시 일산동구 장항동 1487,고양시 일산동구 장항동 1487,37.658883,126.7735305,일산동구청 환경녹지과,031-8075-6243,2025-02-24
93,경기도,고양시 일산동구,일산동구청 20-227-하행,"정류장(버스,택시 등)",일반쓰레기수거용,고양시 일산동구 장항동 1487,고양시 일산동구 장항동 1487,37.658883,126.7735305,일산동구청 환경녹지과,031-8075-6243,2025-02-24
94,경기도,고양시 일산동구,라페스타 보행자도로,기타(보도),"일반,재활용쓰레기수거용",고양시 일산동구장항동 762,고양시 일산동구장항동 762,37.6619403,126.7678488,일산동구청 환경녹지과,031-8075-6243,2025-02-24
95,경기도,고양시 일산동구,라페스타 보행자도로,기타(보도),"일반,재활용쓰레기수거용",고양시 일산동구장항동 762,고양시 일산동구장항동 762,37.6619403,126.7678488,일산동구청 환경녹지과,031-8075-6243,2025-02-24
96,경기도,고양시 일산동구,라페스타 보행자도로,기타(보도),"일반,재활용쓰레기수거용",고양시 일산동구장항동 1479,고양시 일산동구장항동 1479,37.6611772,126.7685514,일산동구청 환경녹지과,031-8075-6243,2025-02-24
97,경기도,고양시 일산동구,라페스타 보행자도로,기타(보도),"일반,재활용쓰레기수거용",고양시 일산동구장항동 1479,고양시 일산동구장항동 1479,37.6611772,126.7685514,일산동구청 환경녹지과,031-8075-6243,2025-02-24
98,경기도,고양시 일산동구,라페스타 보행자도로,기타(보도),"일반,재활용쓰레기수거용",고양시 일산동구장항동 767,고양시 일산동구장항동 767,37.6603148,126.7693817,일산동구청 환경녹지과,031-8075-6243,2025-02-24
99,경기도,고양시 일산동구,라페스타 보행자도로,기타(보도),"일반,재활용쓰레기수거용",고양시 일산동구장항동 767,고양시 일산동구장항동 767,37.6603148,126.7693817,일산동구청 환경녹지과,031-8075-6243,2025-02-24
100,경기도,고양시 일산동구,영천사 개방화장실,기타(보도),"일반,재활용쓰레기수거용",고양시 일산동구 성석로 77-184,중산동 산60-5,37.6919375,126.7879632,일산동구청 환경녹지과,031-8075-6243,2025-02-24
101,경기도,고양시 일산동구,영천사 개방화장실,기타(보도),"일반,재활용쓰레기수거용",고양시 일산동구 성석로 77-184,중산동 산60-5,37.6919375,126.7879632,일산동구청 환경녹지과,031-8075-6243,2025-02-24
102,경기도,고양시 일산서구,킨텍스제1전시장 버스정류장,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 일산서구 킨텍스로 217-60 앞 도로변,고양시 일산서구 대화동 2306-2,37.67163262,126.7448976,일산서구청 환경녹지과,031-8075-7242,2025-02-24
103,경기도,고양시 일산서구,백병원 버스정류장-상행,"정류장(버스,택시 등)","일반,재활용쓰레기수거용",경기도 고양시 일산서구 주화로 170 앞 도로변,고양시 일산서구 대화동 2502,37.67624627,126.747765,일산서구청 환경녹지과,031-8075-7242,2025-02-24
