연번,시도명,시군구명,해당구,해당동,상세주소,설치위치,쓰레기통 종류,위도,경도,담당부서 전화번호,데이터기준일자
28,경기도,성남시,중원구,금광2동,산성대로372번길 3,단대오거리역(뚜레쥬르 앞),스마트,37.445233 ,127.157520 ,031-729-3194,2025-03-25
29,경기도,성남시,분당구,정자동,정자동 99-6 앞,정자역 2번 출구(탄천 방향 버스정류장 안내판 옆),일반,37.364857 ,127.108373 ,031-729-3194,2025-03-25
30,경기도,성남시,분당구,정자1동,정자동 26,정자역 3번 출구(지하철역 입구 옆),일반,37.366544 ,127.107348 ,031-729-3194,2025-03-25
31,경기도,성남시,분당구,서현1동,서현동 264,서현역 2번 출구(AK프라자 앞 버스정류장 안내판 옆),일반,37.384264 ,127.123726 ,031-729-3194,2025-03-25
32,경기도,성남시,분당구,서현1동,서현동 88 앞,버스정류장(07302) : 서현역(서현 지엔느),일반,37.383794 ,127.124782 ,031-729-3194,2025-03-25
33,경기도,성남시,분당구,서현1동,서현동 245-3 앞, 버스정류장: 성지하이츠텔 뷰맵 분당스토어 앞,일반,37.386836 ,127.125481 ,031-729-3194,2025-03-25
34,경기도,성남시,분당구,이매1동,이매동 127-9 앞,버스정류장(07483) : 이매촌한신아파트 207동 앞),일반,37.388095 ,127.125195 ,031-729-3194,2025-03-25
35,경기도,성남시,분당구,야탑1동,야탑동 364-2,버스정류장(07203) : 야탑역 1번 출구(야탑역 광장 공영주차장),일반,37.412066 ,127.129176 ,031-729-3194,2025-03-25
36,경기도,성남시,분당구,야탑1동,야탑동 359-5,야탑역 4번 출구(지하철역 입구 옆),일반,37.411761 ,127.128163 ,031-729-3194,2025-03-25
37,경기도,성남시,분당구,금곡동,금곡동 158 앞,미금역 1번 출구(미도프라자 올리브영 앞),일반,37.350890 ,127.109497 ,031-729-3194,2025-03-25
38,경기도,성남시,분당구,금곡동,금곡동 157 앞,미금역 2번 출구(금산젬월드 텐퍼센트커피 앞),일반,37.350494 ,127.109524 ,031-729-3194,2025-03-25
39,경기도,성남시,분당구,백현동,백현동532-1 앞,버스정류장(07073) : 판교역 1번 출구(판교역 환승주차장),일반,37.394822 ,127.111248 ,031-729-3194,2025-03-25
40,경기도,성남시,분당구,백현동,백현동534 앞,버스정류장(07570) : 판교역 2번 출구(판교테크원),일반,37.395468 ,127.112110 ,031-729-3194,2025-03-25
41,경기도,성남시,분당구,야탑1동,성남대로 919,야탑역 광장(야탑역 4번 출구 롯데리아 앞),스마트,37.411761 ,127.128163 ,031-729-3194,2025-03-25
42,경기도,성남시,분당구,백현동,백현동 534-1번지,판교역 광장(판교역 2~3번 출구 사이 백현동 관광안내도 옆),스마트,37.394822 ,127.111248 ,031-729-3194,2025-03-25
