시도명,시군구명,설치주소,설치지점,쓰레기통 종류,관리기관명,관리기관전화번호,데이터기준일자
충청남도,서산시,음암면 상홍2길 126-28,우리마을아파트,일반쓰레기통 및 분리수거대(아파트단지내),음암면 행정복지센터,041-660-3507,2025-04-22
충청남도,서산시,음암면 서령로 325-23,한성스위트빌아파트,일반쓰레기통 및 분리수거대(아파트단지내),음암면 행정복지센터,041-660-3507,2025-04-22
충청남도,서산시,음암면 서령로 330,음암마을아파트,일반쓰레기통 및 분리수거대(아파트단지내),음암면 행정복지센터,041-660-3507,2025-04-22
충청남도,서산시,음암면 석동로 36,개나리아파트,일반쓰레기통 및 분리수거대(아파트단지내),음암면 행정복지센터,041-660-3507,2025-04-22
충청남도,서산시,음암면 음암로 499,수림미소가아파트,일반쓰레기통 및 분리수거대(아파트단지내),음암면 행정복지센터,041-660-3507,2025-04-22
충청남도,서산시,음암면 칠거리로 12,동서산영무예다음,일반쓰레기통 및 분리수거대(아파트단지내),음암면 행정복지센터,041-660-3507,2025-04-22
충청남도,서산시,읍내동 136-5,도로변,클린하우스,부춘동 행정복지센터,041-660-3597,2025-04-22
충청남도,서산시,읍내동 323-7,도로변,클린하우스,부춘동 행정복지센터,041-660-3597,2025-04-22
충청남도,서산시,팔봉면 어송리 1457-4,도로변,클린하우스,팔봉면 행정복지센터,041-660-3444,2025-04-22
충청남도,서산시,팔봉면 어송리 1759,도로변,"일반쓰레기, 재활용쓰레기",팔봉면 행정복지센터,041-660-3445,2025-04-22
충청남도,서산시,팔봉면 진장리 산 79-2,도로변,클린하우스,팔봉면 행정복지센터,041-660-3444,2025-04-22
충청남도,서산시,해미면 남문2로 1433,문화시설사업소 해미읍성 내,클린하우스,해미면 행정복지센터,041-660-3543,2025-04-22
