연번, 관리번호, 도로명,행정동, 설치주소, 세부위치,위도,경도, 수거쓰레기종류, 쓰레기통종류, 관리기관명, 관리기관전화번호, 데이터기준일자
82,광산구-82,동곡로,동곡동,광주광역시 광산구 유계동 1031-14,버스정류장,35.091394,126.7729998,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
83,광산구-83,동곡로,동곡동,광주광역시 광산구 하산동 193-9,버스정류장,35.0914487319,126.7725211732,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
84,광산구-84,동곡로,동곡동,광주광역시 광산구 유계동 608-3,버스정류장,35.0978204725,126.7756844977,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
85,광산구-85,동곡로,동곡동,광주광역시 광산구 유계동 237-18,버스정류장,35.1016539725,126.7780946764,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
86,광산구-86,동곡로,동곡동,광주광역시 광산구 복룡동 121-1,버스정류장,35.1074295479,126.7794040758,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
87,광산구-87,동곡로,동곡동,광주광역시 광산구 동곡로 324,버스정류장,35.1109372192,126.7799549261,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
88,광산구-88,동곡로,동곡동,광주광역시 광산구 복룡동 645-9,버스정류장,35.1178200054,126.7807996154,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
89,광산구-89,동곡로,동곡동,광주광역시 광산구 본덕동 506-2,버스정류장,35.0859505286,126.7716261191,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
90,광산구-90,동곡로,동곡동,광주광역시 광산구 용봉동 330-3,버스정류장,35.0810226246,126.7661273912,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
91,광산구-91,동곡로,동곡동,광주광역시 광산구 용봉동 333-24,버스정류장,35.0808451,126.7665019,가로 쓰레기,가로변쓰레기통,광주광역시 광산구청,062-960-8473,2022-11-08
