연번,시도명,자치구명,도로(가로)명,지번주소,세부위치,설치장소유형,수거 쓰레기 종류,형태,설치연도,관리기관명,관리기관전화번호,데이터기준일
11,대전광역시,동구,동대전로 316,가양동 422-9,석갈비집,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
12,대전광역시,동구,우암로 353,가양동 50-31,왕손족발,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
13,대전광역시,동구,우암로 325-1,가양동 87-6,또먹어도돼지,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
14,대전광역시,동구,충정로 136 ,가양동 658,대주파크빌 103동 앞,버스정류장 앞,일반+담배꽁초+재활용 ,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
15,대전광역시,동구,대전로 420,가오동 235-52,또또손세차,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
16,대전광역시,동구,대전로 486,가오동 404-1,명신주택,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
17,대전광역시,동구,대전로 473,가오동 398-15,명성부동산,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
18,대전광역시,동구,은어송로 47,가오동 617,공인중개사,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
19,대전광역시,동구,은어송로 48,가오동 662,새마을금고,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
20,대전광역시,동구,동구청로 67,가오동 658,풍림아이원 정문,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
21,대전광역시,동구,동구청로 147,가오동 425,동구청 정문,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
22,대전광역시,동구,은어송로 46,가오동 663,엔제리너스커피,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
23,대전광역시,동구,계족로 148,대동 117-1,아리따움,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
24,대전광역시,동구,동대전로 130-2,대동 400-10,베트남식당,횡단보도 옆,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
25,대전광역시,동구,동대전로 59-1,대동 162-1,정형외과,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
26,대전광역시,동구,계족로 137,대동 527,새들뫼 휴먼시아 108동 ,도로(가로변),일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
27,대전광역시,동구,동대전로 99,대동 66-14,뮤흐뮤흐,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
28,대전광역시,동구,동대전로 88-2,대동 79-17,세븐일레븐,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
29,대전광역시,동구,대전로 248,대성동 267-1,복권편의점,도로(가로변),일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
30,대전광역시,동구,대전로 874,삼성동 108-8,중앙민속 예술학원,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
31,대전광역시,동구,우암로 74,삼성동 120-12,명창재단 지업사,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
32,대전광역시,동구,솔랑길 12 ,삼성동 150-27,삼성빌라 맞은편,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
33,대전광역시,동구,우암로 73-1,삼성동 284-4,기전케이블,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
34,대전광역시,동구,대전로 896,삼성동 296-13,감골오리,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
35,대전광역시,동구,동서대로 1498-1,삼성동 330-21,영진카서비스,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
36,대전광역시,동구,동서대로1503번길 3,삼성동 332-5,시은펫,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
37,대전광역시,동구,대전로 935 ,삼성동 479,한밭자이아파트 정문,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
38,대전광역시,동구,우암로 159,성남동 155-1,부모사랑 요양병원,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
39,대전광역시,동구,동서대로 1688,성남동 494-15,빅플러스타워,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
40,대전광역시,동구,계족로 276,소제동 308-3,천안골동품,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
41,대전광역시,동구,계족로 123,신흥동 168,충남중학교 버스터미널,버스정류장 앞,일반,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
42,대전광역시,동구,옥천로 38,신흥동 212,신흥마을 아파트 102동 ,버스정류장 앞,일반,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
43,대전광역시,동구,동서대로 1719,용전동 111-25,갑띠방,횡단보도 옆,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
44,대전광역시,동구,한밭대로 1269,용전동 20-1,LG베스트샵,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
45,대전광역시,동구,동서대로 1673-1,용전동 117-18,아로마플라워,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
46,대전광역시,동구,한밭대로 1231,용전동 12-35,글로벌자동차유리,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
47,대전광역시,동구,한밭대로 1291,용전동 21-7,아우벤 대전점,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
48,대전광역시,동구,한밭대로 1232,용전동 45-2,도디치 대전점,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
49,대전광역시,동구,한밭대로 1266,용전동 51-4,기아자동차,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
50,대전광역시,동구,대전로 771,원동 48-1,주앙스파찜질방,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
51,대전광역시,동구,동대전로 135,자양동 141-18,파리바게뜨,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
52,대전광역시,동구,대전로 823,정동 15-5,한송헤어샵,횡단보도 옆,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
53,대전광역시,동구,대전로 829,정동 13-28,더블유에스 제이점,도로(가로변),일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
54,대전광역시,동구,중앙로 185,중동 26-8,우리은행,횡단보도 옆,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
55,대전광역시,동구,중앙로193번길 4,중동 60-13,장준서아카데미,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
56,대전광역시,동구,중앙로 206,중동 77-24,다온제이,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
57,대전광역시,동구,대전로 577,천동 120-8,청원종합장식,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
58,대전광역시,동구,대전로 580,천동 115-22,가가가 노래방기계대여,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
59,대전광역시,동구,대전로 509,천동 69-1,한국토지주택 충남본부,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
60,대전광역시,동구,대전로 502,천동 64-5,카로드,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
61,대전광역시,동구,판암로 15,판암동 351-40,태영막창 앞,도로(가로변),일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
62,대전광역시,동구,대전로 1012,홍도동 848-12,친환경페인트,버스정류장 앞,일반+담배꽁초+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
63,대전광역시,동구,계족로 42-2,인동 256-9,공터,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
64,대전광역시,동구,대전로 621-1,효동 259-4,예성지갑,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
65,대전광역시,동구,대전로 646,효동 135-1,효동현대아파트 106동 앞,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
66,대전광역시,동구,계족로140번길 162,용운동 451-10,명문건설환경,도로(가로변),일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
67,대전광역시,동구,대학로 91,용운동 558,고향촌칼국수,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
68,대전광역시,동구,대학로 62-67,용운동 592,스마트빌,도로(가로변),일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
69,대전광역시,동구,대학로 43,용운동 711,전화위복,도로(가로변),일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
70,대전광역시,동구,대학로 62-67,용운동 592,스마트빌,도로(가로변),일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
71,대전광역시,동구,용운로 89,용운동 450-9,씨케이건설,버스정류장 앞,일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
72,대전광역시,동구,산내로 1280-1,낭월동 647,원메밀막국수,도로(가로변),일반+재활용,일반 사각 쓰레기통,2014년 이전,대전광역시 동구,042-251-4561,2025-08-01
73,대전광역시,동구,대전로 706,인동 18-1,인동 참좋은아파트 앞,도로(가로변),일반+재활용,일반 사각 쓰레기통,2024년,대전광역시 동구,042-251-4561,2025-08-01
74,대전광역시,동구,계족로 65,인동 353,동부경찰서 근처,도로(가로변),일반+재활용,일반 사각 쓰레기통,2024년,대전광역시 동구,042-251-4561,2025-08-01
75,대전광역시,동구,,신흥동 97-23,한가족노인요양원 부근,도로(가로변),일반+재활용,일반 사각 쓰레기통,2024년,대전광역시 동구,042-251-4561,2025-08-01
76,대전광역시,동구,옥천로 38,신흥동 212,한가족노인요양원 건너편,도로(가로변),일반+재활용,일반 사각 쓰레기통,2024년,대전광역시 동구,042-251-4561,2025-08-01
77,대전광역시,동구,,신흥동 202-4,제2치수교방면 신흥마을아파트정류장,도로(가로변),일반+재활용,일반 사각 쓰레기통,2024년,대전광역시 동구,042-251-4561,2025-08-01
78,대전광역시,동구,계족로 88,신흥동 11-7,신흥동김치찌개 앞,도로(가로변),일반+재활용,일반 사각 쓰레기통,2024년,대전광역시 동구,042-251-4561,2025-08-01
